Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
1426274,User 636,70205,1,30/11/2015,07:27,30/11/2015,15:16,14.36,Elland Road Park and Ride,APT 7kW Dual Outlet
1426522,User 38,70205,2,30/11/2015,10:09,30/11/2015,13:59,14.29,Elland Road Park and Ride,APT 7kW Dual Outlet
1428004,User 44,70204,1,01/12/2015,07:40,01/12/2015,11:39,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1428010,User 636,70205,1,01/12/2015,07:31,01/12/2015,13:26,21.26,Elland Road Park and Ride,APT 7kW Dual Outlet
1428156,User 110,70205,2,01/12/2015,09:01,01/12/2015,17:29,32.55,Elland Road Park and Ride,APT 7kW Dual Outlet
1428901,User 116,70206,2,01/12/2015,14:40,01/12/2015,14:54,0.87,Elland Road Park and Ride,APT 7kW Dual Outlet
1429686,User 121,70206,2,02/12/2015,06:51,02/12/2015,15:41,9.32,Elland Road Park and Ride,APT 7kW Dual Outlet
1429803,User 636,70205,1,02/12/2015,07:37,02/12/2015,13:02,16.82,Elland Road Park and Ride,APT 7kW Dual Outlet
1430130,User 38,70207,1,02/12/2015,11:42,02/12/2015,13:29,6.59,Elland Road Park and Ride,APT 7kW Dual Outlet
1431599,User 636,70205,1,03/12/2015,08:14,03/12/2015,17:03,13.05,Elland Road Park and Ride,APT 7kW Dual Outlet
1437575,User 645,70208,1,07/12/2015,07:55,07/12/2015,16:13,5.31,Elland Road Park and Ride,APT 7kW Dual Outlet
1437781,User 121,70207,1,07/12/2015,09:53,07/12/2015,15:11,0.0,Elland Road Park and Ride,APT 7kW Dual Outlet
1437783,User 99,70206,2,07/12/2015,09:54,07/12/2015,14:24,9.34,Elland Road Park and Ride,APT 7kW Dual Outlet
1439158,User 636,70205,1,08/12/2015,06:50,08/12/2015,14:42,14.12,Elland Road Park and Ride,APT 7kW Dual Outlet
1439522,User 121,70207,1,08/12/2015,10:01,08/12/2015,16:23,9.92,Elland Road Park and Ride,APT 7kW Dual Outlet
1441050,User 636,70205,1,09/12/2015,07:29,09/12/2015,15:00,21.09,Elland Road Park and Ride,APT 7kW Dual Outlet
1441064,User 645,70208,1,09/12/2015,07:40,09/12/2015,15:47,5.89,Elland Road Park and Ride,APT 7kW Dual Outlet
1441068,User 44,70204,1,09/12/2015,07:43,09/12/2015,17:41,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1441213,User 628,70206,2,09/12/2015,08:58,09/12/2015,17:22,11.8,Elland Road Park and Ride,APT 7kW Dual Outlet
1442883,User 645,70206,1,10/12/2015,07:50,10/12/2015,17:52,5.45,Elland Road Park and Ride,APT 7kW Dual Outlet
1443186,User 636,70205,1,10/12/2015,10:35,10/12/2015,14:33,14.49,Elland Road Park and Ride,APT 7kW Dual Outlet
1444721,User 121,70207,1,11/12/2015,08:29,11/12/2015,16:19,9.82,Elland Road Park and Ride,APT 7kW Dual Outlet
1446588,User 63,70204,2,12/12/2015,08:53,12/12/2015,10:03,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1448844,User 636,70205,1,14/12/2015,07:33,14/12/2015,16:29,14.51,Elland Road Park and Ride,APT 7kW Dual Outlet
1450721,User 111,70205,2,15/12/2015,08:28,15/12/2015,17:56,36.48,Elland Road Park and Ride,APT 7kW Dual Outlet
1452582,User 636,70206,1,16/12/2015,08:03,16/12/2015,17:19,16.47,Elland Road Park and Ride,APT 7kW Dual Outlet
1454307,User 121,70207,1,17/12/2015,06:57,17/12/2015,15:52,9.61,Elland Road Park and Ride,APT 7kW Dual Outlet
1454431,User 645,70206,1,17/12/2015,08:07,17/12/2015,17:51,5.7,Elland Road Park and Ride,APT 7kW Dual Outlet
1454551,User 636,70206,2,17/12/2015,08:54,17/12/2015,17:03,17.09,Elland Road Park and Ride,APT 7kW Dual Outlet
1458273,User 628,70206,2,19/12/2015,11:59,19/12/2015,17:04,11.96,Elland Road Park and Ride,APT 7kW Dual Outlet
1458774,User 64,70206,1,19/12/2015,17:30,19/12/2015,19:42,11.38,Elland Road Park and Ride,APT 7kW Dual Outlet
1459421,User 84,70204,2,20/12/2015,11:12,20/12/2015,14:08,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1462375,User 55,70206,2,22/12/2015,10:10,22/12/2015,11:10,3.31,Elland Road Park and Ride,APT 7kW Dual Outlet
1470742,User 631,70206,2,29/12/2015,11:56,29/12/2015,16:56,20.76,Elland Road Park and Ride,APT 7kW Dual Outlet
1472154,User 120,70201,2,30/12/2015,13:19,30/12/2015,13:19,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
1472155,User 120,70201,1,30/12/2015,13:19,30/12/2015,15:48,0.0,Woodhouse Lane Car Park,APT 7kW Dual Outlet
