Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Site,Model
10334513,User 149,70200,1,26/08/2020,18:30,27/08/2020,17:54,9.18,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10334932,User 621,70204,1,26/08/2020,21:28,27/08/2020,09:02,15.71,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10334962,User 618,70201,2,26/08/2020,21:42,27/08/2020,07:57,5.4,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10334969,User 623,51467,1,26/08/2020,21:44,01/09/2020,10:02,12.92,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10335313,User 520,70201,1,27/08/2020,07:40,27/08/2020,16:54,17.81,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10335703,User 546,70204,2,27/08/2020,09:16,27/08/2020,13:13,3.05,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10336612,User 712,51468,2,27/08/2020,13:01,27/08/2020,15:55,10.44,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10337108,User 612,70204,2,27/08/2020,14:49,28/08/2020,10:12,9.35,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10337436,User 620,51468,2,27/08/2020,16:37,28/08/2020,10:08,8.42,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10337450,User 621,70204,1,27/08/2020,15:33,27/08/2020,17:55,15.53,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10337474,User 624,70201,2,27/08/2020,15:32,28/08/2020,08:20,6.42,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10337742,User 416,70202,2,27/08/2020,17:37,27/08/2020,17:54,1.16,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10337789,User 618,70200,2,27/08/2020,17:53,28/08/2020,08:12,3.83,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10338250,User 621,70203,2,27/08/2020,20:40,28/08/2020,10:08,7.16,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10338276,User 615,70204,1,27/08/2020,20:59,28/08/2020,17:56,4.23,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10339057,User 372,70202,1,28/08/2020,08:57,28/08/2020,14:02,8.61,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10339127,User 324,70201,2,28/08/2020,09:12,28/08/2020,18:20,14.09,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10340680,User 623,70200,2,28/08/2020,14:42,28/08/2020,18:03,6.14,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10340693,User 624,70204,2,28/08/2020,14:44,28/08/2020,17:58,5.55,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10340705,User 618,51468,2,28/08/2020,14:47,28/08/2020,17:55,6.52,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10340998,User 1121,70202,2,28/08/2020,15:51,28/08/2020,18:45,11.17,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10341220,User 620,51467,2,28/08/2020,16:42,29/08/2020,17:57,8.75,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10341561,User 612,70204,2,28/08/2020,18:02,29/08/2020,18:01,8.3,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10342042,User 621,70202,1,28/08/2020,21:18,29/08/2020,18:12,22.41,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10342054,User 615,70201,2,28/08/2020,21:23,29/08/2020,18:15,9.81,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10342464,User 520,70200,2,29/08/2020,07:40,29/08/2020,17:04,16.51,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10342503,User 1115,51468,2,29/08/2020,07:59,29/08/2020,14:34,11.64,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10343196,User 149,70204,1,29/08/2020,11:34,29/08/2020,18:03,8.84,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10343871,User 440,70201,1,29/08/2020,13:53,29/08/2020,15:58,8.05,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10344864,User 623,70204,2,29/08/2020,18:06,01/09/2020,18:46,6.21,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10344871,User 624,70204,1,29/08/2020,18:09,02/09/2020,17:53,5.19,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10344881,User 618,70203,2,29/08/2020,18:11,01/09/2020,08:05,3.79,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10345722,User 520,51468,2,30/08/2020,07:40,30/08/2020,17:14,20.04,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10346188,User 344,70202,1,30/08/2020,10:49,30/08/2020,13:57,12.28,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10346786,User 399,70201,2,30/08/2020,12:57,30/08/2020,15:30,2.83,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10347475,User 615,70202,2,30/08/2020,15:48,01/09/2020,10:02,10.35,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10347477,User 621,70201,1,30/08/2020,15:48,01/09/2020,10:04,14.97,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10349202,User 1128,70200,2,31/08/2020,09:59,31/08/2020,12:04,13.42,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10349711,User 1129,51468,2,31/08/2020,11:56,31/08/2020,14:35,2.33,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10350447,User 520,70200,2,31/08/2020,14:27,01/09/2020,02:29,15.53,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10352215,User 380,51468,2,01/09/2020,07:43,01/09/2020,18:02,10,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10352309,User 1118,70202,1,01/09/2020,08:05,01/09/2020,17:38,7.15,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10352419,User 472,70200,1,01/09/2020,08:28,01/09/2020,09:24,1.31,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10352506,User 1116,70203,2,01/09/2020,08:44,01/09/2020,15:36,20.25,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10352508,User 372,51467,2,01/09/2020,08:45,01/09/2020,15:52,8.47,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10354508,User 621,70201,1,01/09/2020,16:36,02/09/2020,09:10,9.56,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10354515,User 615,51467,1,01/09/2020,16:39,02/09/2020,09:05,12.02,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10354782,User 416,70202,1,01/09/2020,17:58,01/09/2020,21:02,11.96,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10354972,User 618,70203,2,01/09/2020,18:52,02/09/2020,09:00,6.45,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10355630,User 1115,51468,2,02/09/2020,07:22,02/09/2020,15:13,12.37,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10355704,User 380,70202,1,02/09/2020,07:44,02/09/2020,17:59,3,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10356026,User 546,70204,2,02/09/2020,09:07,02/09/2020,17:00,4.77,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10356132,User 556,51467,2,02/09/2020,09:38,02/09/2020,18:52,22.12,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10356374,User 324,70200,2,02/09/2020,10:44,02/09/2020,18:41,30.7,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10356791,User 1121,70203,2,02/09/2020,12:36,02/09/2020,17:29,12.62,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10357381,User 621,70201,2,02/09/2020,14:55,02/09/2020,18:01,7.03,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10357537,User 615,70202,2,02/09/2020,15:30,02/09/2020,17:53,7.28,Woodhouse Lane Car Park,APT 7kW Dual Outlet
10357547,User 618,51468,2,02/09/2020,15:32,03/09/2020,08:08,7.67,Woodhouse Lane Car Park,APT 7kW Dual Outlet
